"""","計(件)"," 火 災(件)","自 然災 害(件)"," 水 難(件)"," 交 通(件)","労 働災 害(件)","運 動競 技(件)","一 般負 傷(件)"," 加 害(件)","自 損行 為(件)"," 急 病(件)"," その他(件)"
"平成 7年(1995年)","28805.0","64.0","8.0","62.0","6448.0","437.0","158.0","3399.0","285.0","257.0","14881.0","2806.0"
"","","","","","","","","","","","",""
"平成 8年(1996年)","29362.0","56.0","1.0","74.0","6404.0","429.0","160.0","3508.0","301.0","303.0","15170.0","2956.0"
"平成 9年(1997年)","29805.0","64.0","6.0","103.0","6214.0","415.0","155.0","3649.0","318.0","354.0","15533.0","2994.0"
"平成10年(1998年)","31954.0","77.0","30.0","91.0","6435.0","459.0","162.0","4014.0","367.0","419.0","16689.0","3211.0"
"平成11年(1999年)","33893.0","70.0","3.0","82.0","6525.0","408.0","167.0","4290.0","371.0","495.0","17899.0","3583.0"
"平成12年(2000年)","35990.0","73.0","3.0","57.0","6570.0","425.0","202.0","4530.0","403.0","484.0","19381.0","3862.0"
"","","","","","","","","","","","",""
"平成13年(2001年)","37345.0","79.0","5.0","55.0","6820.0","411.0","179.0","4728.0","380.0","542.0","20293.0","3853.0"
"平成14年(2002年)","37981.0","63.0","1.0","86.0","6361.0","394.0","193.0","4851.0","354.0","518.0","21220.0","3940.0"
"平成15年(2003年)","40210.0","81.0","0.0","64.0","6189.0","406.0","252.0","5243.0","341.0","540.0","23003.0","4091.0"
"平成16年(2004年)","42591.0","86.0","9.0","66.0","6344.0","453.0","229.0","5582.0","331.0","570.0","24531.0","4390.0"
"平成17年(2005年)","44940.0","148.0","18.0","54.0","6347.0","418.0","194.0","5902.0","312.0","537.0","26597.0","4413.0"
"","","","","","","","","","","","",""
"平成18年(2006年)","45466.0","88.0","4.0","81.0","6036.0","418.0","203.0","6113.0","302.0","575.0","27360.0","4286.0"
"平成19年(2007年)","46669.0","103.0","4.0","62.0","5951.0","460.0","239.0","6485.0","289.0","662.0","28180.0","4234.0"
"平成20年(2008年)","44440.0","73.0","0.0","61.0","5773.0","384.0","200.0","6158.0","251.0","681.0","26756.0","4103.0"
"平成21年(2009年)","42542.0","46.0","6.0","48.0","5897.0","330.0","215.0","5845.0","229.0","511.0","25607.0","3808.0"
"平成22年(2010年)","46831.0","72.0","4.0","77.0","5574.0","364.0","260.0","6579.0","256.0","594.0","29074.0","3977.0"
"","","","","","","","","","","","",""
"平成23年(2011年)","48883.0","89.0","34.0","85.0","5733.0","394.0","240.0","7024.0","283.0","587.0","30307.0","4107.0"
"平成24年(2012年)","49735.0","91.0","13.0","76.0","5550.0","376.0","227.0","7158.0","244.0","560.0","31278.0","4162.0"
"平成25年(2013年)","50200.0","79.0","4.0","76.0","5496.0","466.0","271.0","7300.0","244.0","561.0","31599.0","4104.0"
"平成26年(2014年)","51182.0","77.0","13.0","69.0","5397.0","429.0","264.0","7664.0","262.0","512.0","32140.0","4355.0"
"","","","","","","","","","","","",""
"　　和歌山市","20091.0","50.0","9.0","24.0","2560.0","140.0","124.0","2912.0","141.0","223.0","12469.0","1439.0"
"　　海 南 市 ","2767.0","0.0","0.0","0.0","268.0","22.0","7.0","428.0","7.0","25.0","1765.0","245.0"
"　　橋 本 市 ","2106.0","0.0","0.0","0.0","196.0","23.0","13.0","334.0","12.0","18.0","1292.0","218.0"
"","","","","","","","","","","","",""
"　　有 田 市","1467.0","1.0","0.0","1.0","138.0","9.0","7.0","227.0","6.0","7.0","905.0","166.0"
"　　御 坊 市","1220.0","1.0","1.0","0.0","127.0","10.0","11.0","180.0","3.0","14.0","682.0","191.0"
"　　田 辺 市","5243.0","8.0","3.0","4.0","558.0","43.0","33.0","698.0","34.0","44.0","3358.0","460.0"
"","","","","","","","","","","","",""
"　　新 宮 市","1671.0","2.0","0.0","0.0","129.0","19.0","14.0","233.0","6.0","13.0","1088.0","167.0"
"　　紀美野町","582.0","2.0","0.0","0.0","40.0","6.0","3.0","97.0","0.0","3.0","390.0","41.0"
"　　高 野 町","258.0","2.0","0.0","0.0","23.0","1.0","1.0","55.0","1.0","4.0","128.0","43.0"
"","","","","","","","","","","","",""
"　　有田川町","1304.0","0.0","0.0","4.0","97.0","17.0","5.0","210.0","5.0","11.0","811.0","144.0"
"　　白 浜 町","2084.0","1.0","0.0","15.0","164.0","26.0","4.0","354.0","9.0","33.0","1357.0","121.0"
"　　那智勝浦町","1053.0","0.0","0.0","1.0","57.0","11.0","1.0","176.0","4.0","11.0","672.0","120.0"
"　　串本町","1573.0","0.0","0.0","6.0","122.0","8.0","2.0","258.0","2.0","10.0","1040.0","125.0"
"","","","","","","","","","","","",""
"　　那賀消防組合","4741.0","3.0","0.0","1.0","513.0","40.0","20.0","650.0","20.0","58.0","3003.0","433.0"
"　　伊都消防組合","1648.0","7.0","0.0","3.0","134.0","17.0","2.0","295.0","5.0","8.0","992.0","185.0"
"　　湯浅広川消防組合","1090.0","0.0","0.0","3.0","88.0","8.0","7.0","151.0","4.0","10.0","694.0","125.0"
"　　日高広域消防事務組合","2284.0","0.0","0.0","7.0","183.0","29.0","10.0","406.0","3.0","20.0","1494.0","132.0"
